176.96.136.0/22,DE,DE-HE,Frankfurt am Main,
2.59.132.0/22,DE,DE-HE,Frankfurt am Main,
45.145.40.0/22,DE,DE-HE,Frankfurt am Main,
45.157.232.0/22,DE,DE-HE,Frankfurt am Main,
62.192.153.0/24,DE,DE-HE,Frankfurt am Main,
91.238.123.0/24,DE,DE-HE,Frankfurt am Main,
94.143.231.0/24,DE,DE-HE,Frankfurt am Main,
185.94.29.0/24,DE,DE-HE,Frankfurt am Main,
185.219.84.0/24,DE,DE-HE,Frankfurt am Main,
185.254.96.0/22,DE,DE-HE,Frankfurt am Main,
193.41.226.0/24,DE,DE-HE,Frankfurt am Main,
193.41.237.0/24,DE,DE-HE,Frankfurt am Main,
193.42.11.0/24,DE,DE-HE,Frankfurt am Main,
193.42.12.0/24,DE,DE-HE,Frankfurt am Main,
193.46.81.0/24,DE,DE-HE,Frankfurt am Main,
194.9.6.0/24,DE,DE-HE,Frankfurt am Main,
194.48.217.0/24,DE,DE-HE,Frankfurt am Main,
194.107.126.0/24,DE,DE-HE,Frankfurt am Main,
104.167.24.0/24,DE,DE-HE,Frankfurt am Main,
5.231.70.0/24,DE,DE-HE,Frankfurt am Main,
77.90.22.0/24,DE,DE-HE,Frankfurt am Main,
93.123.85.0/24,DE,DE-HE,Frankfurt am Main,
193.148.253.0/24,DE,DE-HE,Frankfurt am Main,
212.87.204.0/24,DE,DE-HE,Frankfurt am Main,
2a0c:4ac1::/32,DE,DE-HE,Frankfurt am Main,
2a0d:1180::/29,DE,DE-HE,Frankfurt am Main,
2a0d:5940::/29,DE,DE-HE,Frankfurt am Main,
